ubicacion,dedicacion,contrato,salario,rol,anos_de_experiencia,antiguedad_en_la_empresa_actual,anos_en_el_puesto_actual,cuantas_personas_tenes_a_cargo,tecnologias,cantidad_de_personas_en_tu_organizacion,modalidad_de_trabajo,edad,genero,seniority,marvin_rol
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1650000.0,BI Analyst / Data Analyst,2,0,2,0,"Bash/Shell, SQL",De 5001 a 10000 personas,Híbrido (presencial y remoto),27,Hombre Cis,Junior,6
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1800000.0,Infosec,1,1,1,0,"Go, Python",Más de 10000 personas,Híbrido (presencial y remoto),33,Mujer Cis,Junior,3
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,2200000.0,Technical Leader,25,10,10,30,"Ninguno de los anteriores, Trato que mi equipo use ReactJS, NodeJS y Postgres. ",Más de 10000 personas,Híbrido (presencial y remoto),49,Hombre Cis,Senior,4
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3100000.0,HelpDesk,3,3,3,0,Ninguno de los anteriores,De 51 a 100 personas,Híbrido (presencial y remoto),29,Hombre Cis,Semi-Senior,9
Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1500000.0,Networking,10,3,0,0,Ninguno de los anteriores,De 5001 a 10000 personas,100% presencial,33,Hombre Cis,Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1470000.0,Developer,3,0,0,0,Ninguno de los anteriores,De 201 a 500 personas,100% remoto,34,Hombre Cis,Semi-Senior,9
Córdoba,Full-Time,Staff (planta permanente),1147000.0,UX Designer,3,3,3,0,Ninguno de los anteriores,De 11  a 50  personas,Híbrido (presencial y remoto),27,Mujer Cis,Semi-Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2902935.0,Infosec,4,1,4,0,"Java, Javascript, Python, SQL",De 2001a 5000 personas,Híbrido (presencial y remoto),25,Hombre Cis,Semi-Senior,3
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2200000.0,Designer,4,0,0,0,Ninguno de los anteriores,De 101 a 200 personas,100% remoto,29,Mujer Cis,Semi-Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1600000.0,Developer,1,3,1,0,".NET, TypeScript",De 5001 a 10000 personas,100% remoto,24,Hombre Cis,Junior,3
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1800000.0,UX Writer,2,0,1,0,Ninguno de los anteriores,De 101 a 200 personas,Híbrido (presencial y remoto),30,Mujer Cis,Junior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2875400.0,Developer,3,0,0,0,".NET, Assembler, C#, Python, SQL",De 1001 a 2000 personas,Híbrido (presencial y remoto),29,Mujer Cis,Semi-Senior,3
Córdoba,Full-Time,Staff (planta permanente),2350000.0,Manager / Director,35,2,2,5,Ninguno de los anteriores,De 101 a 200 personas,Híbrido (presencial y remoto),54,Hombre Cis,Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3392256.0,Architect,28,2,14,0,MS Powershell,Más de 10000 personas,Híbrido (presencial y remoto),47,Hombre Cis,Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,1500000.0,Infosec,20,6,6,1,"Bash/Shell, CSS, HTML, Javascript, Perl, PHP, Python, Scala, SQL",Más de 10000 personas,Híbrido (presencial y remoto),40,Hombre Cis,Senior,4
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4000000.0,Manager / Director,20,14,12,4,"CSS, HTML, Javascript, PHP, Python, SQL",De 201 a 500 personas,Híbrido (presencial y remoto),42,Hombre Cis,Senior,4
Corrientes,Full-Time,Staff (planta permanente),1900000.0,Developer,2,2,1,0,"Java, Javascript, SQL",De 101 a 200 personas,100% remoto,29,Hombre Cis,Junior,3
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3300000.0,Consultant,19,14,14,0,"Bash/Shell, HTML, Java, Javascript, PHP, SQL, VBA",De 11  a 50  personas,Híbrido (presencial y remoto),41,Hombre Cis,Senior,3
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,1236666.0,Scrum Master,4,2,1,8,"CSS, HTML, Javascript, PHP",De 201 a 500 personas,Híbrido (presencial y remoto),29,Mujer Cis,Semi-Senior,2
Buenos Aires,Full-Time,Staff (planta permanente),2250000.0,Developer,15,2,2,0,TypeScript,De 1001 a 2000 personas,100% remoto,39,Hombre Cis,Senior,2
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),956000.0,SysAdmin / DevOps / SRE,6,5,5,0,Ninguno de los anteriores,De 101 a 200 personas,Híbrido (presencial y remoto),35,Mujer Cis,Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1250000.0,QA / Tester,2,0,2,0,Python,De 1001 a 2000 personas,Híbrido (presencial y remoto),30,Hombre Cis,Junior,5
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1500000.0,QA / Tester,4,0,4,0,Python,De 201 a 500 personas,100% remoto,34,Hombre Cis,Semi-Senior,5
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3000000.0,Manager / Director,14,1,1,8,Java,De 51 a 100 personas,100% presencial,33,Hombre Cis,Senior,3
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),943865.0,BI Analyst / Data Analyst,1,1,1,0,"Python, SQL",De 11  a 50  personas,Híbrido (presencial y remoto),23,Hombre Cis,Junior,6
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1013000.0,Manager / Director,2,1,1,0,Ninguno de los anteriores,De 101 a 200 personas,100% remoto,42,Hombre Cis,Junior,9
Buenos Aires,Full-Time,Staff (planta permanente),3370000.0,Technical Leader,13,5,3,9,"CSS, HTML, Javascript, PHP, SQL, TypeScript",De 51 a 100 personas,Híbrido (presencial y remoto),36,Hombre Cis,Senior,4
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1800000.0,BI Analyst / Data Analyst,5,0,0,0,"Python, SQL",De 2001a 5000 personas,Híbrido (presencial y remoto),40,Hombre Cis,Semi-Senior,6
Córdoba,Full-Time,Staff (planta permanente),1950000.0,SysAdmin / DevOps / SRE,19,19,5,1,Python,De 11  a 50  personas,100% presencial,44,Hombre Cis,Senior,5
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4167000.0,Technical Leader,2,4,2,14,"Java, Javascript, Kotlin, Swift, TypeScript",Más de 10000 personas,Híbrido (presencial y remoto),30,Mujer Cis,Junior,4
Mendoza,Full-Time,Staff (planta permanente),3190394.0,Technical Leader,14,12,4,12,"Bash/Shell, Python",De 501 a 1000 personas,Híbrido (presencial y remoto),40,Hombre Cis,Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1843596.0,Data Engineer,4,0,0,0,"Python, SQL",De 51 a 100 personas,Híbrido (presencial y remoto),32,Hombre Cis,Semi-Senior,5
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3000000.0,BI Analyst / Data Analyst,6,4,4,0,"R, SQL",De 51 a 100 personas,100% remoto,31,Mujer Cis,Senior,5
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2340000.0,UX Designer,3,8,3,0,Ninguno de los anteriores,De 101 a 200 personas,Híbrido (presencial y remoto),29,Mujer Cis,Semi-Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2800000.0,Manager / Director,10,3,3,20,Ninguno de los anteriores,De 101 a 200 personas,Híbrido (presencial y remoto),45,Hombre Cis,Senior,9
Córdoba,Full-Time,Contractor,3347000.0,Technical Leader,7,2,1,1,".NET, SQL, TypeScript",De 5001 a 10000 personas,100% remoto,26,Mujer Cis,Senior,3
Córdoba,Full-Time,Staff (planta permanente),3161955.0,Technical Leader,30,2,2,0,"CSS, Dart, HTML, Java, Javascript, PHP, SQL, TypeScript",De 11  a 50  personas,Híbrido (presencial y remoto),54,Hombre Cis,Senior,4
Córdoba,Full-Time,Staff (planta permanente),1827521.0,Recruiter,13,0,0,0,Ninguno de los anteriores,De 11  a 50  personas,100% remoto,34,Mujer Cis,Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2840000.0,Consultant,8,5,5,1,"Python, Ninguno de los anteriores",De 11  a 50  personas,100% remoto,34,Hombre Cis,Senior,5
Buenos Aires,Full-Time,Staff (planta permanente),2167044.0,SysAdmin / DevOps / SRE,5,2,2,0,"Arduino, C++",De 201 a 500 personas,Híbrido (presencial y remoto),36,Hombre Cis,Semi-Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3997798.0,Developer,8,3,1,0,".NET, C#, TypeScript",Más de 10000 personas,Híbrido (presencial y remoto),29,Hombre Cis,Senior,3
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1200000.0,Developer,2,2,0,0,"CSS, HTML, Javascript, SQL, TypeScript",De 501 a 1000 personas,100% remoto,25,Hombre Cis,Junior,2
Santa Fe,Full-Time,Staff (planta permanente),2125000.0,Developer,2,2,2,0,"Go, Groovy, Java, Javascript, SQL",Más de 10000 personas,100% remoto,36,Mujer Cis,Junior,3
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1000000.0,UX Designer,3,4,4,0,"CSS, HTML, Javascript, TypeScript",De 11  a 50  personas,Híbrido (presencial y remoto),29,Mujer Cis,Semi-Senior,2
Santa Fe,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1900000.0,VP / C-Level,30,2,2,50,".NET, Bash/Shell, C#, CSS, Go, HTML, Javascript, PHP, Solidity, SQL, TypeScript, VBA",De 51 a 100 personas,100% remoto,50,Hombre Cis,Senior,4
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3552298.0,Networking,15,9,9,0,"Bash/Shell, Python",De 201 a 500 personas,100% presencial,36,Hombre Cis,Senior,9
Buenos Aires,Full-Time,Staff (planta permanente),1500000.0,Technical Writer,8,1,1,1,Ninguno de los anteriores,De 101 a 200 personas,Híbrido (presencial y remoto),35,Mujer Cis,Senior,9
Chaco,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1500000.0,QA / Tester,3,3,3,0,Ninguno de los anteriores,De 101 a 200 personas,100% remoto,30,Hombre Cis,Semi-Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1139999.92,Networking,30,16,16,0,Ninguno de los anteriores,De 51 a 100 personas,100% remoto,54,Hombre Cis,Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2300000.0,Technical Leader,3,25,2,0,"PHP, R, VB6",De 501 a 1000 personas,Híbrido (presencial y remoto),45,Hombre Cis,Semi-Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1670000.0,QA / Tester,4,2,4,0,Ninguno de los anteriores,De 101 a 200 personas,Híbrido (presencial y remoto),31,Hombre Cis,Semi-Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2380500.0,Developer,5,0,0,0,TypeScript,De 201 a 500 personas,Híbrido (presencial y remoto),25,Mujer Cis,Semi-Senior,2
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1400000.0,Developer,5,2,2,0,"HTML, Javascript, PHP, Python, TypeScript",De 11  a 50  personas,Híbrido (presencial y remoto),28,Hombre Cis,Semi-Senior,4
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1882600.99,Developer,6,2,1,0,".NET, C#, propietaria tipo C++, VB",De 5001 a 10000 personas,Híbrido (presencial y remoto),55,Hombre Cis,Senior,3
Córdoba,Full-Time,Staff (planta permanente),2500000.0,SysAdmin / DevOps / SRE,20,1,15,2,SQL,De 51 a 100 personas,Híbrido (presencial y remoto),44,Hombre Cis,Senior,6
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2800000.0,QA / Tester,10,0,0,0,"Javascript, TypeScript",De 201 a 500 personas,Híbrido (presencial y remoto),35,Mujer Cis,Senior,2
Santa Fe,Full-Time,Staff (planta permanente),948845.0,BI Analyst / Data Analyst,6,2,2,0,Ninguno de los anteriores,De 11  a 50  personas,100% remoto,28,Mujer Cis,Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2280147.57,DBA (Database Administrator),5,30,5,3,"PHP, SQL",De 11  a 50  personas,Híbrido (presencial y remoto),53,Hombre Cis,Semi-Senior,3
Río Negro,Full-Time,Staff (planta permanente),2500000.0,SysAdmin / DevOps / SRE,12,7,7,1,Python,De 501 a 1000 personas,Híbrido (presencial y remoto),35,Mujer Cis,Senior,5
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4200000.0,Manager / Director,12,0,0,0,Ninguno de los anteriores,De 201 a 500 personas,Híbrido (presencial y remoto),50,Mujer Cis,Senior,9
Córdoba,Full-Time,Staff (planta permanente),1200000.0,Recruiter,3,2,3,0,Ninguno de los anteriores,De 101 a 200 personas,100% remoto,24,Mujer Cis,Semi-Senior,9
Buenos Aires,Full-Time,Staff (planta permanente),3342000.0,SysAdmin / DevOps / SRE,20,2,2,0,Ninguno de los anteriores,De 5001 a 10000 personas,Híbrido (presencial y remoto),47,Hombre Cis,Senior,9
Córdoba,Full-Time,Staff (planta permanente),2281000.0,Manager / Director,30,6,4,8,Ninguno de los anteriores,De 51 a 100 personas,100% remoto,57,Hombre Cis,Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1600000.0,Developer,3,1,1,0,".NET, C#, CSS, Dart, HTML, Javascript, SQL",De 11  a 50  personas,Híbrido (presencial y remoto),21,Hombre Cis,Semi-Senior,4
Misiones,Full-Time,Staff (planta permanente),1885672.17,Developer,22,13,2,0,"Bash/Shell, C, HTML, Java, Javascript, Python, TypeScript",De 201 a 500 personas,100% remoto,41,Hombre Cis,Senior,4
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2000000.0,Infosec,10,2,2,0,.NET,De 101 a 200 personas,Híbrido (presencial y remoto),39,Hombre Cis,Senior,3
Ciudad Autónoma de Buenos Aires,Part-Time,Staff (planta permanente),1037398.0,Designer,2,2,2,0,"CSS, HTML",De 2001a 5000 personas,Híbrido (presencial y remoto),24,Mujer Cis,Junior,2
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3900000.0,Developer,8,2,2,0,"CSS, Go, HTML, Javascript, SQL, TypeScript",Más de 10000 personas,Híbrido (presencial y remoto),34,Hombre Cis,Senior,2
Córdoba,Full-Time,Staff (planta permanente),1836859.5,QA / Tester,3,1,3,0,"Java, SQL",De 201 a 500 personas,100% remoto,25,Mujer Cis,Semi-Senior,3
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),5900000.0,Manager / Director,30,3,20,0,Ninguno de los anteriores,De 101 a 200 personas,Híbrido (presencial y remoto),50,Hombre Cis,Senior,9
Buenos Aires,Full-Time,Staff (planta permanente),1340000.0,UX Designer,12,1,1,0,".NET, C++, C#",De 11  a 50  personas,Híbrido (presencial y remoto),37,Hombre Cis,Senior,3
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),5800000.0,Networking,6,2,2,0,"Bash/Shell, C, Python, SQL",Más de 10000 personas,Híbrido (presencial y remoto),43,Hombre Cis,Senior,9
Ciudad Autónoma de Buenos Aires,Part-Time,Freelance,2000000.0,Manager / Director,15,0,0,0,Ninguno de los anteriores,1 (solamente yo),100% remoto,56,Mujer Cis,Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2509507.0,Developer,3,0,0,3,".NET, C#, SQL, TypeScript",De 1001 a 2000 personas,Híbrido (presencial y remoto),23,Hombre Cis,Semi-Senior,3
Córdoba,Full-Time,Staff (planta permanente),3200000.0,Middleware,14,6,1,3,"Bash/Shell, Python",De 51 a 100 personas,100% remoto,36,Hombre Cis,Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4690559.0,Architect,25,8,2,0,Python,De 5001 a 10000 personas,100% remoto,48,Hombre Cis,Senior,5
Santa Fe,Full-Time,Staff (planta permanente),2956808.91,Developer,4,4,1,4,".NET, C#, CSS, HTML, Javascript, SQL",De 2001a 5000 personas,100% remoto,25,Hombre Cis,Semi-Senior,4
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,1025600.0,Developer,3,2,2,0,"CSS, HTML, Javascript",De 101 a 200 personas,Híbrido (presencial y remoto),28,Hombre Cis,Semi-Senior,2
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2600000.0,Developer,2,2,1,0,"Bash/Shell, Javascript",Más de 10000 personas,Híbrido (presencial y remoto),25,Mujer Cis,Junior,2
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1450000.0,SysAdmin / DevOps / SRE,16,12,10,0,Bash/Shell,De 11  a 50  personas,100% remoto,41,Hombre Cis,Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2502172.0,Manager / Director,5,0,4,13,SQL,De 51 a 100 personas,Híbrido (presencial y remoto),30,Mujer Cis,Semi-Senior,6
Buenos Aires,Full-Time,Staff (planta permanente),4300000.0,Manager / Director,16,16,5,11,"Python, SQL",De 1001 a 2000 personas,100% presencial,37,Hombre Cis,Senior,6
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2360000.0,Developer,6,2,2,0,SQL,Más de 10000 personas,100% remoto,34,Mujer Cis,Senior,6
Buenos Aires,Full-Time,Staff (planta permanente),1200000.0,Developer,1,1,1,0,PHP,De 11  a 50  personas,Híbrido (presencial y remoto),36,Mujer Cis,Junior,3
Corrientes,Full-Time,Staff (planta permanente),1313400.0,SysAdmin / DevOps / SRE,10,5,5,0,"CSS, HTML, Javascript, SQL",De 11  a 50  personas,100% presencial,29,Hombre Cis,Senior,2
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2300000.0,Developer,12,2,2,0,"CSS, Go, HTML, PHP",De 11  a 50  personas,100% presencial,28,Hombre Cis,Senior,2
Chaco,Full-Time,Staff (planta permanente),2150000.0,Business Analyst,12,0,9,0,SQL,De 2001a 5000 personas,100% remoto,36,Hombre Cis,Senior,5
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2033000.0,Sales / Pre-Sales,9,0,0,0,"Python, SQL",De 501 a 1000 personas,Híbrido (presencial y remoto),29,Hombre Cis,Senior,5
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1800000.0,Developer,3,1,1,0,"Java, SQL",De 101 a 200 personas,Híbrido (presencial y remoto),21,Hombre Cis,Semi-Senior,3
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3000000.0,Developer,25,1,1,4,"Java, Python",Más de 10000 personas,100% remoto,50,Hombre Cis,Senior,3
Mendoza,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1113253.01,UX Designer,2,2,2,0,"CSS, HTML, TypeScript",De 2001a 5000 personas,100% remoto,29,Mujer Cis,Junior,2
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3976903.0,Developer,15,4,15,0,"Java, SQL",De 2001a 5000 personas,Híbrido (presencial y remoto),42,Mujer Cis,Senior,3
Buenos Aires,Full-Time,Staff (planta permanente),3360797.0,Infosec,3,10,3,0,"Bash/Shell, Python",De 2001a 5000 personas,Híbrido (presencial y remoto),38,Hombre Cis,Semi-Senior,9
Buenos Aires,Full-Time,Staff (planta permanente),1570000.0,Developer,2,2,2,0,"Bash/Shell, CSS, HTML, Java, Javascript, SQL, TypeScript",De 1001 a 2000 personas,100% remoto,32,Mujer Cis,Junior,4
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,1007638.0,BI Analyst / Data Analyst,3,2,2,0,"Python, SQL",De 11  a 50  personas,Híbrido (presencial y remoto),27,Hombre Cis,Semi-Senior,5
Buenos Aires,Full-Time,Staff (planta permanente),2220000.0,Technical Leader,14,14,6,2,"Bash/Shell, PHP, Python, SQL",De 2001a 5000 personas,Híbrido (presencial y remoto),47,Hombre Cis,Senior,3
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3284145.0,Developer,26,3,3,2,".NET, C#, CSS, HTML, Javascript, SQL",De 11  a 50  personas,100% remoto,49,Hombre Cis,Senior,2
Buenos Aires,Full-Time,Staff (planta permanente),3845000.0,Data Engineer,10,0,0,2,"C#, HTML, Javascript, Python, SQL",De 5001 a 10000 personas,100% remoto,44,Hombre Cis,Senior,4
Santa Fe,Full-Time,Contractor,1250000.0,Developer,0,0,0,1,PHP,De 11  a 50  personas,100% remoto,23,Hombre Cis,Junior,3
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2500000.0,Developer,2,2,1,3,".NET, C#, CSS, HTML, Javascript, SQL",De 51 a 100 personas,Híbrido (presencial y remoto),28,Hombre Cis,Junior,2
Santa Fe,Full-Time,Contractor,1800000.0,Developer,4,4,4,0,"CSS, HTML, Javascript, PHP",De 2 a 10 personas,100% remoto,26,Hombre Cis,Semi-Senior,2
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1635800.0,BI Analyst / Data Analyst,4,1,1,0,"Java, Python",De 11  a 50  personas,Híbrido (presencial y remoto),40,Mujer Cis,Semi-Senior,3
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),5900800.0,Architect,22,1,1,0,".NET, C, C++, C#, CSS, HTML, Java, Javascript, Python, SQL, TypeScript",De 201 a 500 personas,100% remoto,42,Hombre Cis,Senior,4
Chubut,Part-Time,Tercerizado (trabajo a través de consultora o agencia),900000.0,Developer,2,2,2,0,"CSS, HTML, Javascript, PHP, SQL",De 11  a 50  personas,100% remoto,27,Hombre Cis,Junior,2
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2125752.0,QA / Tester,8,3,3,0,Ninguno de los anteriores,De 501 a 1000 personas,Híbrido (presencial y remoto),46,Mujer Cis,Senior,9
Córdoba,Full-Time,Participación societaria en una cooperativa,1000000.0,Developer,5,5,2,2,"Java, Javascript, Kotlin",De 2 a 10 personas,Híbrido (presencial y remoto),31,Hombre Cis,Semi-Senior,3
Santa Fe,Full-Time,Staff (planta permanente),3000000.0,Manager / Director,20,3,5,10,".NET, No uso en gestion proyectos",De 101 a 200 personas,Híbrido (presencial y remoto),50,Hombre Cis,Senior,3
Santa Fe,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1767744.0,Developer,3,0,0,0,".NET, Javascript, SQL, TypeScript",De 51 a 100 personas,100% remoto,29,Hombre Cis,Semi-Senior,3
Buenos Aires,Full-Time,Staff (planta permanente),1979780.0,Developer,3,2,2,0,"CSS, HTML, Javascript, TypeScript",De 5001 a 10000 personas,100% remoto,41,Hombre Cis,Semi-Senior,2
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1696769.0,BI Analyst / Data Analyst,5,5,5,0,"SQL, Big query",De 11  a 50  personas,Híbrido (presencial y remoto),34,Lesbiana,Semi-Senior,5
Buenos Aires,Full-Time,Staff (planta permanente),2100000.0,QA / Tester,3,0,0,0,"ABAP, SQL",De 201 a 500 personas,Híbrido (presencial y remoto),31,Hombre Cis,Semi-Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3000000.0,Data Engineer,8,6,6,0,"Bash/Shell, Python, SQL",Más de 10000 personas,100% remoto,48,Hombre Cis,Senior,9
Salta,Full-Time,Staff (planta permanente),3380000.0,Data Engineer,10,1,1,0,"Python, SQL",Más de 10000 personas,100% remoto,43,Hombre Cis,Senior,6
Córdoba,Full-Time,Staff (planta permanente),3100000.0,Developer,7,0,5,0,"Bash/Shell, Java, Python, SQL",Más de 10000 personas,Híbrido (presencial y remoto),31,Hombre Cis,Senior,3
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2600000.0,Developer,3,3,3,0,"CSS, HTML, Java, Javascript, SQL",De 2001a 5000 personas,Híbrido (presencial y remoto),28,Mujer Cis,Semi-Senior,4
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4500000.0,Infosec,25,13,1,0,"Bash/Shell, Javascript, Python, SQL",De 51 a 100 personas,100% remoto,45,Hombre Cis,Senior,3
Buenos Aires,Full-Time,Staff (planta permanente),2969870.0,Developer,5,2,2,3,"HTML, Java, Javascript, SQL",De 101 a 200 personas,100% remoto,31,Hombre Cis,Semi-Senior,4
Buenos Aires,Full-Time,Staff (planta permanente),1254774.0,Technical Support,13,13,13,0,Ninguno de los anteriores,De 101 a 200 personas,Híbrido (presencial y remoto),44,Hombre Cis,Senior,9
Mendoza,Full-Time,Tercerizado (trabajo a través de consultora o agencia),4200000.0,Developer,3,0,0,0,"Bash/Shell, Java, Javascript, SQL",De 51 a 100 personas,100% remoto,29,Hombre Cis,Semi-Senior,3
Buenos Aires,Full-Time,Staff (planta permanente),4700000.0,Manager / Director,2,8,1,6,"HTML, Java, Python, SQL, VBA",De 201 a 500 personas,100% presencial,38,Hombre Cis,Junior,4
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2600000.0,Consultant,14,2,2,0,Python,De 2001a 5000 personas,100% remoto,36,Hombre Cis,Senior,5
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1100000.0,Developer,2,1,2,0,".NET, C#, TypeScript, Ionic",De 11  a 50  personas,Híbrido (presencial y remoto),31,Hombre Cis,Junior,3
Córdoba,Full-Time,Staff (planta permanente),828000.0,BI Analyst / Data Analyst,5,30,25,0,"Python, SQL",De 11  a 50  personas,100% presencial,56,Hombre Cis,Semi-Senior,6
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3250000.0,BI Analyst / Data Analyst,3,1,3,0,Ninguno de los anteriores,De 5001 a 10000 personas,Híbrido (presencial y remoto),39,Hombre Cis,Semi-Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1500000.0,SysAdmin / DevOps / SRE,2,5,2,0,Ninguno de los anteriores,De 501 a 1000 personas,100% remoto,30,Queer,Junior,9
Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1700000.0,Infosec,3,2,3,0,Python,De 51 a 100 personas,100% remoto,24,Mujer Cis,Semi-Senior,5
Santa Fe,Full-Time,Staff (planta permanente),1966570.0,Developer,1,1,1,0,"Bash/Shell, HTML, Python",De 51 a 100 personas,Híbrido (presencial y remoto),36,Mujer Cis,Junior,5
Córdoba,Full-Time,Staff (planta permanente),970000.0,QA / Tester,2,2,2,0,SQL,De 201 a 500 personas,Híbrido (presencial y remoto),44,Mujer Cis,Junior,5
Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),835000.0,Infosec,10,6,3,0,SQL,Más de 10000 personas,100% remoto,44,Hombre Cis,Senior,5
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4095000.0,Infosec,5,2,3,2,Python,De 101 a 200 personas,Híbrido (presencial y remoto),30,Hombre Cis,Semi-Senior,5
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2280000.0,Developer,6,6,6,0,"HTML, Javascript, PHP",De 11  a 50  personas,100% remoto,40,Hombre Cis,Senior,2
Córdoba,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1200000.0,Developer,1,0,1,0,"Java, Javascript, SQL",De 101 a 200 personas,100% remoto,44,Mujer Cis,Junior,3
