contrato,dedicacion,remainder__salario,remainder__anos_de_experiencia,remainder__antiguedad_en_la_empresa_actual,remainder__anos_en_el_puesto_actual,remainder__cuantas_personas_tenes_a_cargo,remainder__edad,remainder__marvin_rol,remainder__cantidad_personas_encoded,remainder__modalidad_encoded,remainder__seniority_encoded
0.0,1.0,1565621.0,3.0,1.0,3.0,0.0,24.0,3.0,10.0,2.0,1.0
0.0,1.0,2100000.0,2.0,2.0,2.0,0.0,31.0,2.0,2.0,2.0,0.0
0.0,1.0,1380000.0,3.0,3.0,3.0,0.0,26.0,3.0,1.0,2.0,1.0
1.0,1.0,3440000.0,5.0,0.0,0.0,0.0,27.0,2.0,2.0,0.0,1.0
0.0,1.0,1200000.0,3.0,3.0,2.0,1.0,30.0,5.0,3.0,2.0,1.0
1.0,1.0,4119273.0,5.0,5.0,1.0,0.0,35.0,3.0,7.0,2.0,1.0
1.0,1.0,1500000.0,2.0,1.0,1.0,0.0,32.0,4.0,4.0,1.0,0.0
1.0,1.0,1325000.0,1.0,1.0,1.0,0.0,22.0,4.0,7.0,2.0,0.0
1.0,1.0,3600000.0,6.0,2.0,1.0,0.0,35.0,3.0,7.0,2.0,2.0
0.0,1.0,2200000.0,5.0,0.0,0.0,2.0,27.0,2.0,2.0,1.0,1.0
0.0,1.0,3498000.0,3.0,0.0,0.0,0.0,31.0,2.0,4.0,2.0,1.0
0.0,1.0,1088000.0,2.0,1.0,1.0,0.0,29.0,5.0,2.0,1.0,0.0
0.0,1.0,2000000.0,30.0,25.0,15.0,8.0,59.0,4.0,1.0,2.0,2.0
1.0,1.0,800000.0,2.0,2.0,2.0,0.0,35.0,2.0,10.0,2.0,0.0
1.0,1.0,6120000.0,18.0,8.0,6.0,100.0,42.0,5.0,10.0,1.0,3.0
0.0,1.0,3500000.0,16.0,0.0,12.0,0.0,37.0,2.0,4.0,2.0,2.0
1.0,1.0,2900000.0,20.0,2.0,2.0,0.0,46.0,3.0,5.0,1.0,2.0
1.0,0.0,5088750.0,18.0,18.0,0.0,0.0,48.0,4.0,2.0,2.0,2.0
0.0,1.0,2200000.0,20.0,3.0,1.0,0.0,40.0,3.0,9.0,2.0,2.0
1.0,1.0,3800000.0,18.0,4.0,3.0,4.0,38.0,4.0,7.0,2.0,2.0
0.0,0.0,2200000.0,16.0,13.0,12.0,2.0,38.0,6.0,3.0,1.0,2.0
0.0,1.0,5000000.0,15.0,2.0,2.0,0.0,46.0,3.0,2.0,2.0,2.0
0.0,1.0,1660000.0,2.0,1.0,1.0,0.0,30.0,2.0,5.0,2.0,0.0
0.0,1.0,3000000.0,12.0,12.0,5.0,35.0,37.0,4.0,2.0,2.0,2.0
1.0,1.0,1500000.0,7.0,2.0,2.0,0.0,34.0,6.0,10.0,2.0,2.0
1.0,1.0,6000000.0,13.0,5.0,3.0,4.0,37.0,3.0,5.0,2.0,3.0
0.0,1.0,2066837.0,10.0,3.0,3.0,0.0,56.0,3.0,3.0,2.0,2.0
0.0,1.0,3000000.0,13.0,2.0,2.0,0.0,43.0,4.0,2.0,2.0,2.0
0.0,1.0,4500000.0,5.0,0.0,0.0,0.0,39.0,3.0,6.0,2.0,1.0
1.0,1.0,1040000.0,10.0,6.0,4.0,0.0,41.0,4.0,3.0,1.0,2.0
1.0,1.0,2150000.0,16.0,16.0,5.0,0.0,36.0,2.0,5.0,2.0,2.0
0.0,1.0,2400000.0,6.0,2.0,2.0,0.0,29.0,4.0,3.0,2.0,2.0
1.0,1.0,3100000.0,7.0,3.0,3.0,0.0,38.0,4.0,8.0,2.0,2.0
1.0,0.0,1500000.0,4.0,4.0,4.0,0.0,28.0,3.0,3.0,1.0,1.0
0.0,1.0,5029000.0,7.0,2.0,5.0,0.0,32.0,6.0,4.0,2.0,2.0
0.0,1.0,3300000.0,4.0,0.0,0.0,0.0,33.0,2.0,1.0,2.0,1.0
0.0,1.0,2100000.0,3.0,3.0,2.0,2.0,24.0,2.0,5.0,1.0,1.0
1.0,1.0,2032000.0,3.0,2.0,0.0,0.0,23.0,6.0,4.0,2.0,1.0
1.0,1.0,1075000.0,3.0,3.0,1.0,0.0,36.0,5.0,10.0,2.0,1.0
0.0,1.0,4450000.0,15.0,1.0,1.0,0.0,38.0,2.0,5.0,2.0,2.0
1.0,1.0,4850000.0,10.0,7.0,3.0,0.0,34.0,3.0,10.0,1.0,2.0
0.0,1.0,3587500.0,8.0,0.0,3.0,0.0,33.0,3.0,7.0,2.0,2.0
1.0,1.0,1400000.0,20.0,15.0,15.0,6.0,47.0,3.0,5.0,0.0,2.0
0.0,1.0,900000.0,3.0,0.0,3.0,0.0,22.0,2.0,3.0,2.0,1.0
1.0,1.0,3814863.0,12.0,5.0,2.0,9.0,35.0,5.0,2.0,2.0,3.0
0.0,1.0,6000000.0,6.0,0.0,5.0,0.0,28.0,3.0,10.0,2.0,2.0
0.0,1.0,5676975.0,8.0,1.0,1.0,0.0,35.0,3.0,0.0,2.0,2.0
0.0,1.0,3500000.0,6.0,3.0,3.0,0.0,35.0,2.0,5.0,2.0,2.0
0.0,1.0,1260000.0,3.0,3.0,3.0,0.0,25.0,2.0,2.0,1.0,1.0
0.0,1.0,3200000.0,13.0,1.0,10.0,0.0,39.0,3.0,7.0,2.0,2.0
0.0,1.0,2100000.0,3.0,0.0,0.0,0.0,29.0,2.0,3.0,2.0,1.0
0.0,1.0,1070000.0,2.0,0.0,0.0,0.0,23.0,5.0,2.0,2.0,0.0
0.0,1.0,3650000.0,8.0,3.0,3.0,0.0,32.0,2.0,4.0,2.0,2.0
1.0,1.0,2300000.0,7.0,2.0,3.0,4.0,39.0,5.0,5.0,2.0,3.0
1.0,1.0,1879085.0,4.0,1.0,1.0,0.0,24.0,2.0,6.0,2.0,1.0
0.0,1.0,6000000.0,6.0,0.0,6.0,0.0,31.0,5.0,5.0,2.0,2.0
1.0,1.0,2657000.0,3.0,3.0,3.0,0.0,43.0,2.0,3.0,2.0,1.0
0.0,1.0,2814000.0,6.0,0.0,6.0,0.0,31.0,3.0,7.0,2.0,2.0
0.0,1.0,4100000.0,6.0,3.0,3.0,0.0,27.0,2.0,5.0,2.0,2.0
0.0,1.0,2160000.0,3.0,3.0,0.0,3.0,37.0,3.0,2.0,2.0,1.0
1.0,1.0,2300000.0,1.0,9.0,1.0,40.0,37.0,4.0,4.0,1.0,3.0
0.0,1.0,2550000.0,5.0,4.0,4.0,1.0,36.0,2.0,4.0,1.0,1.0
0.0,1.0,4280000.0,4.0,1.0,0.0,1.0,27.0,5.0,4.0,2.0,1.0
1.0,1.0,2117479.35,5.0,0.0,5.0,0.0,29.0,3.0,10.0,2.0,1.0
0.0,1.0,4280000.0,4.0,0.0,0.0,0.0,24.0,2.0,7.0,2.0,1.0
0.0,1.0,2200000.0,2.0,1.0,2.0,0.0,51.0,2.0,1.0,2.0,0.0
0.0,1.0,2120000.0,2.0,0.0,2.0,0.0,30.0,2.0,2.0,2.0,0.0
0.0,1.0,1980000.0,4.0,0.0,4.0,0.0,36.0,2.0,3.0,2.0,1.0
0.0,0.0,900000.0,2.0,2.0,1.0,2.0,26.0,2.0,1.0,1.0,0.0
1.0,1.0,3225000.0,6.0,3.0,1.0,4.0,30.0,6.0,4.0,1.0,2.0
1.0,1.0,2500000.0,4.0,3.0,1.0,5.0,33.0,4.0,8.0,2.0,3.0
1.0,1.0,3600000.0,4.0,0.0,0.0,0.0,27.0,3.0,10.0,2.0,1.0
0.0,1.0,2100000.0,3.0,2.0,2.0,4.0,23.0,4.0,2.0,2.0,1.0
0.0,0.0,1300000.0,4.0,2.0,2.0,0.0,35.0,5.0,1.0,2.0,1.0
1.0,1.0,3100000.0,5.0,2.0,5.0,0.0,31.0,3.0,5.0,1.0,1.0
0.0,1.0,1800000.0,7.0,7.0,1.0,2.0,30.0,4.0,6.0,2.0,2.0
0.0,1.0,5200000.0,6.0,2.0,0.0,2.0,35.0,6.0,10.0,2.0,2.0
1.0,1.0,2848812.75,8.0,3.0,3.0,0.0,38.0,4.0,8.0,2.0,2.0
1.0,1.0,2800000.0,10.0,1.0,8.0,0.0,34.0,4.0,6.0,1.0,2.0
1.0,1.0,1500000.0,22.0,3.0,22.0,3.0,44.0,4.0,2.0,2.0,3.0
1.0,1.0,2400000.0,4.0,0.0,0.0,0.0,23.0,5.0,4.0,2.0,1.0
0.0,1.0,805000.0,0.0,0.0,0.0,0.0,30.0,6.0,1.0,2.0,0.0
0.0,1.0,4410000.0,5.0,3.0,3.0,0.0,29.0,2.0,2.0,2.0,1.0
1.0,1.0,2056000.0,3.0,3.0,3.0,0.0,28.0,3.0,6.0,1.0,1.0
1.0,1.0,1798771.0,5.0,5.0,5.0,15.0,34.0,4.0,4.0,2.0,1.0
