dedicacion,contrato,salario,anos_de_experiencia,antiguedad_en_la_empresa_actual,anos_en_el_puesto_actual,cuantas_personas_tenes_a_cargo,cantidad_de_personas_en_tu_organizacion,modalidad_de_trabajo,edad,seniority,marvin_rol
Full-Time,Staff (planta permanente),3200000.0,14,0,14,0,De 501 a 1000 personas,100% remoto,33,Senior,3
Full-Time,Staff (planta permanente),1846210.0,10,0,8,0,De 2001a 5000 personas,100% remoto,50,Senior,3
Full-Time,Staff (planta permanente),2150000.0,8,6,3,0,De 51 a 100 personas,100% remoto,27,Senior,2
Full-Time,Contractor,3800000.0,4,0,4,0,De 201 a 500 personas,100% remoto,26,Semi-Senior,4
Full-Time,Staff (planta permanente),1700000.0,3,2,2,6,De 11  a 50  personas,100% remoto,29,Manager or Above,6
Full-Time,Staff (planta permanente),2000000.0,3,3,1,0,De 101 a 200 personas,Híbrido (presencial y remoto),24,Semi-Senior,4
Full-Time,Staff (planta permanente),2675000.0,25,6,6,0,De 501 a 1000 personas,Híbrido (presencial y remoto),47,Senior,6
Full-Time,Staff (planta permanente),5400000.0,3,2,3,0,Más de 10000 personas,Híbrido (presencial y remoto),36,Semi-Senior,2
Full-Time,Staff (planta permanente),3500000.0,7,4,1,3,De 11  a 50  personas,Híbrido (presencial y remoto),29,Senior,5
Full-Time,Staff (planta permanente),1300000.0,3,3,3,1,De 201 a 500 personas,100% remoto,24,Semi-Senior,3
Full-Time,Staff (planta permanente),3740000.0,5,3,3,0,Más de 10000 personas,100% remoto,43,Semi-Senior,3
Full-Time,Staff (planta permanente),1000000.0,4,5,4,0,De 201 a 500 personas,100% presencial,31,Semi-Senior,4
Full-Time,Staff (planta permanente),1990000.0,3,1,2,0,Más de 10000 personas,100% remoto,41,Semi-Senior,5
Full-Time,Staff (planta permanente),3100000.0,6,1,1,0,De 201 a 500 personas,100% remoto,47,Senior,2
Full-Time,Staff (planta permanente),2591495.0,13,0,4,0,Más de 10000 personas,Híbrido (presencial y remoto),35,Senior,6
Full-Time,Contractor,1600000.0,3,0,0,0,De 11  a 50  personas,100% remoto,28,Semi-Senior,2
Full-Time,Contractor,6000000.0,10,3,3,0,De 501 a 1000 personas,100% remoto,29,Senior,2
Full-Time,Staff (planta permanente),3200000.0,16,3,2,3,De 51 a 100 personas,Híbrido (presencial y remoto),43,Manager or Above,5
Full-Time,Contractor,1400000.0,2,2,2,0,De 11  a 50  personas,Híbrido (presencial y remoto),30,Junior,4
Full-Time,Staff (planta permanente),1600000.0,7,2,2,0,De 101 a 200 personas,100% remoto,33,Senior,6
Full-Time,Staff (planta permanente),6000000.0,12,2,1,5,De 501 a 1000 personas,100% remoto,36,Senior,3
Full-Time,Staff (planta permanente),2732535.0,12,7,2,15,Más de 10000 personas,Híbrido (presencial y remoto),35,Senior,4
Full-Time,Staff (planta permanente),1700000.0,2,2,1,0,Más de 10000 personas,100% remoto,27,Junior,5
Part-Time,Freelance,1600000.0,7,5,3,4,De 51 a 100 personas,100% remoto,40,Senior,2
Full-Time,Contractor,1200000.0,14,10,10,0,De 2 a 10 personas,100% presencial,44,Senior,2
Full-Time,Freelance,4957000.0,13,13,13,0,1 (solamente yo),Híbrido (presencial y remoto),39,Senior,4
Full-Time,Contractor,5250000.0,20,1,8,5,De 51 a 100 personas,100% remoto,42,Manager or Above,2
Full-Time,Staff (planta permanente),3700000.0,6,1,1,7,De 51 a 100 personas,Híbrido (presencial y remoto),35,Senior,4
Full-Time,Staff (planta permanente),1000000.0,5,3,3,1,De 11  a 50  personas,100% remoto,24,Semi-Senior,4
Full-Time,Contractor,1027400.0,1,1,1,0,1 (solamente yo),100% remoto,29,Junior,2
Full-Time,Staff (planta permanente),5000000.0,20,10,10,6,De 11  a 50  personas,Híbrido (presencial y remoto),44,Senior,4
Full-Time,Staff (planta permanente),3305000.0,7,4,1,0,De 2001a 5000 personas,100% remoto,27,Senior,4
Full-Time,Staff (planta permanente),3200000.0,11,10,1,0,De 51 a 100 personas,Híbrido (presencial y remoto),34,Manager or Above,2
Full-Time,Staff (planta permanente),6200000.0,4,5,3,0,De 201 a 500 personas,100% remoto,34,Semi-Senior,5
Full-Time,Contractor,4670000.0,8,1,3,0,De 11  a 50  personas,100% remoto,33,Senior,3
Full-Time,Contractor,1631700.0,3,1,3,0,De 11  a 50  personas,100% remoto,28,Semi-Senior,4
Full-Time,Staff (planta permanente),5200000.0,5,3,3,15,De 51 a 100 personas,100% remoto,38,Semi-Senior,2
Full-Time,Staff (planta permanente),3579221.0,6,2,2,0,Más de 10000 personas,Híbrido (presencial y remoto),24,Senior,3
Full-Time,Staff (planta permanente),3140000.0,8,3,2,0,Más de 10000 personas,100% remoto,33,Senior,5
Full-Time,Freelance,2300000.0,18,18,18,0,1 (solamente yo),100% remoto,45,Senior,2
Full-Time,Staff (planta permanente),4500000.0,6,4,4,0,De 101 a 200 personas,100% remoto,35,Senior,3
Full-Time,Staff (planta permanente),2500000.0,3,1,1,0,Más de 10000 personas,100% remoto,30,Semi-Senior,6
Part-Time,Contractor,1700000.0,10,1,1,2,1 (solamente yo),100% remoto,55,Manager or Above,4
Full-Time,Staff (planta permanente),3000000.0,6,4,4,0,Más de 10000 personas,Híbrido (presencial y remoto),37,Senior,4
Full-Time,Staff (planta permanente),1700381.0,2,2,2,0,De 2 a 10 personas,100% remoto,37,Junior,6
Full-Time,Staff (planta permanente),3375256.5,7,7,7,0,De 2001a 5000 personas,100% remoto,31,Senior,3
Full-Time,Contractor,4500000.0,4,2,2,0,De 101 a 200 personas,100% remoto,31,Semi-Senior,3
Full-Time,Tercerizado (trabajo a través de consultora o agencia),3100000.0,16,0,16,0,De 101 a 200 personas,100% remoto,37,Senior,2
Full-Time,Tercerizado (trabajo a través de consultora o agencia),1565621.0,3,1,3,0,Más de 10000 personas,100% remoto,24,Semi-Senior,3
Full-Time,Contractor,2100000.0,2,2,2,0,De 11  a 50  personas,100% remoto,31,Junior,2
Full-Time,Contractor,1380000.0,3,3,3,0,De 2 a 10 personas,100% remoto,26,Semi-Senior,3
Full-Time,Staff (planta permanente),3440000.0,5,0,0,0,De 11  a 50  personas,100% presencial,27,Semi-Senior,2
Full-Time,Contractor,1200000.0,3,3,2,1,De 51 a 100 personas,100% remoto,30,Semi-Senior,5
Full-Time,Staff (planta permanente),4119273.0,5,5,1,0,De 1001 a 2000 personas,100% remoto,35,Semi-Senior,3
Full-Time,Staff (planta permanente),1500000.0,2,1,1,0,De 101 a 200 personas,Híbrido (presencial y remoto),32,Junior,4
Full-Time,Staff (planta permanente),1325000.0,1,1,1,0,De 1001 a 2000 personas,100% remoto,22,Junior,4
Full-Time,Staff (planta permanente),3600000.0,6,2,1,0,De 1001 a 2000 personas,100% remoto,35,Senior,3
Full-Time,Tercerizado (trabajo a través de consultora o agencia),2200000.0,5,0,0,2,De 11  a 50  personas,Híbrido (presencial y remoto),27,Semi-Senior,2
Full-Time,Contractor,3498000.0,3,0,0,0,De 101 a 200 personas,100% remoto,31,Semi-Senior,2
Full-Time,Contractor,1088000.0,2,1,1,0,De 11  a 50  personas,Híbrido (presencial y remoto),29,Junior,5
Full-Time,Contractor,2000000.0,30,25,15,8,De 2 a 10 personas,100% remoto,59,Senior,4
Full-Time,Staff (planta permanente),800000.0,2,2,2,0,Más de 10000 personas,100% remoto,35,Junior,2
Full-Time,Staff (planta permanente),6120000.0,18,8,6,100,Más de 10000 personas,Híbrido (presencial y remoto),42,Manager or Above,5
Full-Time,Contractor,3500000.0,16,0,12,0,De 101 a 200 personas,100% remoto,37,Senior,2
Full-Time,Staff (planta permanente),2900000.0,20,2,2,0,De 201 a 500 personas,Híbrido (presencial y remoto),46,Senior,3
Part-Time,Staff (planta permanente),5088750.0,18,18,0,0,De 11  a 50  personas,100% remoto,48,Senior,4
Full-Time,Tercerizado (trabajo a través de consultora o agencia),2200000.0,20,3,1,0,De 5001 a 10000 personas,100% remoto,40,Senior,3
Full-Time,Staff (planta permanente),3800000.0,18,4,3,4,De 1001 a 2000 personas,100% remoto,38,Senior,4
Part-Time,Freelance,2200000.0,16,13,12,2,De 51 a 100 personas,Híbrido (presencial y remoto),38,Senior,6
Full-Time,Freelance,5000000.0,15,2,2,0,De 11  a 50  personas,100% remoto,46,Senior,3
Full-Time,Tercerizado (trabajo a través de consultora o agencia),1660000.0,2,1,1,0,De 201 a 500 personas,100% remoto,30,Junior,2
Full-Time,Participación societaria en una cooperativa,3000000.0,12,12,5,35,De 11  a 50  personas,100% remoto,37,Senior,4
Full-Time,Staff (planta permanente),1500000.0,7,2,2,0,Más de 10000 personas,100% remoto,34,Senior,6
Full-Time,Staff (planta permanente),6000000.0,13,5,3,4,De 201 a 500 personas,100% remoto,37,Manager or Above,3
Full-Time,Contractor,2066837.0,10,3,3,0,De 51 a 100 personas,100% remoto,56,Senior,3
Full-Time,Contractor,3000000.0,13,2,2,0,De 11  a 50  personas,100% remoto,43,Senior,4
Full-Time,Contractor,4500000.0,5,0,0,0,De 501 a 1000 personas,100% remoto,39,Semi-Senior,3
Full-Time,Staff (planta permanente),1040000.0,10,6,4,0,De 51 a 100 personas,Híbrido (presencial y remoto),41,Senior,4
Full-Time,Staff (planta permanente),2150000.0,16,16,5,0,De 201 a 500 personas,100% remoto,36,Senior,2
Full-Time,Contractor,2400000.0,6,2,2,0,De 51 a 100 personas,100% remoto,29,Senior,4
Full-Time,Staff (planta permanente),3100000.0,7,3,3,0,De 2001a 5000 personas,100% remoto,38,Senior,4
Part-Time,Staff (planta permanente),1500000.0,4,4,4,0,De 51 a 100 personas,Híbrido (presencial y remoto),28,Semi-Senior,3
